Case_ID,Date,Time,Source,Precedent_Type,Legal_Issue,Circuit,Holding,Case_Citation,Relevance_Score,Research_Attorney,Priority
RICO-2028-089,3/18/2028,0845,Westlaw Search,Pattern of Racketeering,RICO Enterprise Element,9th Circuit,Enterprise can be proven through association-in-fact with common purpose,United States v. Turkette 452 U.S. 576 (1981),High,Thompson,1
RICO-2028-090,3/19/2028,1030,Case Law Database,Continuity Plus Relationship,RICO Pattern Element,2nd Circuit,Pattern requires at least two predicate acts with continuity showing ongoing criminal activity,H.J. Inc. v. Northwestern Bell 492 U.S. 229 (1989),High,Chen,1
RICO-2028-091,3/19/2028,1415,Legal Research,Forfeiture,Criminal Forfeiture,9th Circuit,Forfeiture of proceeds from racketeering activity mandatory under 18 U.S.C. § 1963,United States v. Vampire Nation 451 F.3d 189 (9th Cir. 2006),Medium,Rodriguez,2
RICO-2028-092,3/20/2028,0920,Trial Brief Research,Predicate Acts,Mail and Wire Fraud,5th Circuit,Each use of mail or wire in furtherance of scheme constitutes separate predicate act,United States v. Fernandez 388 F.3d 1199 (9th Cir. 2004),High,Thompson,1
RICO-2028-093,3/21/2028,1145,Appellate Opinion,Vicarious Liability,Co-Conspirator Acts,9th Circuit,Member liable for reasonably foreseeable acts of co-conspirators in furtherance of conspiracy,Pinkerton v. United States 328 U.S. 640 (1946),Medium,Rodriguez,2
RICO-2028-094,3/22/2028,1600,Legal Memorandum,Enterprise Structure,Association-in-Fact,7th Circuit,No formal organizational structure required - informal association sufficient for RICO enterprise,United States v. Riccobene 709 F.2d 214 (3d Cir. 1983),High,Chen,1
RICO-2028-095,3/23/2028,0730,Case Law Research,Statute of Limitations,RICO Civil Limitations,2nd Circuit,Four-year statute of limitations begins when plaintiff discovers or should have discovered injury,Rotella v. Wood 528 U.S. 549 (2000),Low,Thompson,3
RICO-2028-096,3/24/2028,1320,Legal Database,Conspiracy,RICO Conspiracy Charge,9th Circuit,RICO conspiracy requires agreement to commit two or more predicate acts - does not require commission of predicate acts,Salinas v. United States 522 U.S. 52 (1997),High,Rodriguez,1
RICO-2028-097,3/24/2028,1545,Trial Preparation,Evidentiary Issues,Co-Conspirator Statements,9th Circuit,Statements by co-conspirator admissible under FRE 801(d)(2)(E) if made during and in furtherance of conspiracy,Bourjaily v. United States 483 U.S. 171 (1987),Medium,Chen,2
RICO-2028-098,3/25/2028,0915,Appellate Research,Sentencing,RICO Sentencing Guidelines,9th Circuit,Base offense level determined by most serious predicate offense under USSG § 2E1.1,United States v. Persico 645 F.3d 85 (2d Cir. 2011),Medium,Thompson,2
RICO-2028-099,3/26/2028,1205,Legal Analysis,Criminal Forfeiture,Third-Party Interest,9th Circuit,Bona fide purchaser for value without knowledge can assert interest in forfeited property,United States v. Fleet 498 F.3d 1225 (11th Cir. 2007),Low,Rodriguez,3
RICO-2028-100,3/27/2028,1430,Case Law Update,Venue,Proper Venue for RICO,9th Circuit,Venue proper in any district where enterprise operated or where predicate acts occurred,United States v. Cauble 706 F.2d 1322 (5th Cir. 1983),Medium,Chen,2
RICO-2028-101,3/28/2028,0945,Legal Research,Mens Rea,Knowledge Requirement,2nd Circuit,Defendant must know enterprise engaged in pattern of racketeering but need not know all details,United States v. Shifman 124 F.3d 31 (1st Cir. 1997),High,Thompson,1
RICO-2028-102,3/28/2028,1130,Trial Brief,Money Laundering,RICO Money Laundering Predicates,9th Circuit,Money laundering under 18 U.S.C. § 1956 qualifies as RICO predicate act,United States v. Genova 333 F.3d 750 (7th Cir. 2003),High,Rodriguez,1
RICO-2028-103,3/29/2028,1415,Appellate Brief,Joint and Several Liability,Civil RICO Damages,3rd Circuit,All RICO enterprise participants jointly and severally liable for treble damages under 18 U.S.C. § 1964(c),Steamfitters Local Union No. 420 v. Philip Morris Inc. 171 F.3d 912 (3d Cir. 1999),Low,Chen,3
